"Tweet";"C1";"C2";"C3";"C4";"C5";"CLUSTER"
" IPHONE MOVISTAR FUERA VENDER QUIERE AMIGOS";"0";"0";"0";"0";"0";"C5"
" CONATEL NICOLASMADURO MOVISTAR PRESIDENTE SUBAN TELEFNICAS TARIFAS POSIBLE PRONUNCIA";"0";"1";"0";"0";"0";"C2"
" IPHONE MOVISTAR QUITA SEA LANZANDO MIERDA SERVICIO AMIGOS";"0";"0";"0";"1";"0";"C4"
" CAROS IPHONE RENOVAR MOVISTAR QUEJADO IGUAL DEJAN YO INCONVENIENTES TENIDO";"0";"0";"0";"0";"0";"C5"
" JAJAJAJ WEB DICEN ME MISMO PAGINA";"0";"0";"0";"1";"1";"C5"
" CARAS POR ENTRADAS ESTAN";"1";"0";"0";"0";"0";"C1"
" IPHONE MOVISTAR QUITA SEA LANZANDO MIERDA SERVICIO AMIGOS";"0";"0";"0";"1";"0";"C4"
" PAGAR SIRVE RENTA TELEFONO MOVISTAR DIGANME PORQUERIAS PALOS SEA PASO";"1";"1";"0";"0";"0";"C2"
" CONATEL NICOLASMADURO MOVISTAR PRESIDENTE TELEFONICAS SUBAN TARIFAS POSIBLE PRONUNCIA";"0";"1";"0";"0";"0";"C2"
" PARTIDOS MOVISTAR TORCER SERN NUEVA SE_AL BRAZO TRANSMITIDOS ZELANDA ABIERTA PERU VS";"0";"0";"0";"0";"0";"C5"
" TARIFA TAMPOCO POSPAGO MISTERIOS PREPAGOS MOVISTAR";"0";"1";"0";"0";"0";"C2"
" MOVISTAR DIGITEL TARIFAS NOVIEMBRE MOVILNET AUMENTAN PARTIR";"0";"1";"0";"0";"0";"C2"
" ADIOS PEOR AUMENTO LANZAR PORQUERIA ELEVADO BASURAS MOVISTAR";"0";"0";"0";"0";"0";"C5"
" MOVISTAR DIGITEL TARIFAS NOVIEMBRE MOVILNET AUMENTAN PARTIR";"0";"1";"0";"0";"0";"C2"
" MOVISTAR DIGITEL TARIFAS NOVIEMBRE MOVILNET AUMENTAN PARTIR";"0";"1";"0";"0";"0";"C2"
" DENUNCIAN TARIFAS USUARIOS AUMENTARON MOVISTAR";"0";"1";"0";"0";"0";"C2"
" UN GB ECUANIME MOVISTAR ESTAFA MINUTOS BS PERPLEJO TARIFAS";"0";"1";"0";"1";"0";"C4"
" AUMENTEN DEBERIA MOVISTAR QUE PAGARLE USUARIOS ACEPTABLE DIGITEL TARIFAS MOVILNET";"0";"1";"0";"0";"0";"C2"
" NARANJA 288,60 AUMENTO COSTAR MOVILNET BS EL PASO PLAN";"0";"0";"0";"0";"0";"C5"
" SUELDO PAIS MOVISTAR AUMENTO ASQUEROSO AYER SEA GANAS PASAJE EL MIERDA DE DEL";"0";"0";"0";"0";"0";"C5"
" UN GB ECUANIME MOVISTAR ESTAFA MINUTOS BS PERPLEJO TARIFAS";"0";"1";"0";"1";"0";"C4"
" GRACIAS HALLOWEEN PRECIOS TERROR MOVISTAR";"0";"0";"0";"0";"0";"C5"
" MISERABLES SUBI MOVISTAR CON OJO PELAO TARIFAS ALERTAPRESIDENTEMADURO";"0";"1";"0";"0";"0";"C2"
" SERVICIO INTERNET VEZ PODRIDO OTRA MOVISTAR";"0";"0";"0";"1";"0";"C4"
" PAGAR EMPLEADOS PRIVADA DISPUESTA EMPRESA MOVISTAR";"0";"1";"0";"1";"0";"C4"
" DENUNCIA QUIERO DESCONECTA FORMAL SERVICIO DIAS MOVISTAR";"0";"0";"0";"2";"0";"C4"
" SERVICIO LENTA CONX MOVISTAR";"0";"0";"0";"1";"1";"C5"
" TELEFONIA EFICIENTE MOVISTAR AUMENTO CELULAR AUNADO ACEPTAR CONATEL TARIFAS SERVICIO MIL MOVILNET MUY";"0";"1";"0";"1";"0";"C4"
" CLARO INTERNET SERIA MOVISTAR PUBLICIDAD IGUAL TUVIERAN SI PASE SERVICIO GENIAL ME ENGANOSA";"0";"1";"0";"1";"0";"C4"
" CLARO INTERNET SERIA MOVISTAR PUBLICIDAD IGUAL TUVIERAN SI PASE SERVICIO GENIAL ME ENGANOSA";"0";"1";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO MOVILNET DIGITEL REINT SERVICIO ANCLEGADODECHAVEZ";"0";"0";"0";"1";"0";"C4"
" RENTA MOVISTAR AUMENTO PERO SOBRE QUEJAR ACEPTO QUEJARE DINERO SERVICIO";"0";"0";"0";"1";"0";"C4"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" TECNICO MOVISTAR SI DADO NOVIEMBRE SERVICIO FECHA";"0";"0";"1";"1";"0";"C4"
" PAGAR ESTOY METRO COSTO AUMENTEN ESTARE MOVISTAR EL INCREMENTO JUSTIFICA DISPUESTA";"0";"1";"0";"0";"0";"C2"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO REINTENTA MOVILNET DIGITEL SERVICIO";"0";"0";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO REINTENTA MOVILNET DIGITEL SERVICIO";"0";"0";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO REINTENTA MOVILNET DIGITEL SERVICIO";"0";"0";"0";"1";"0";"C4"
" PAGAR ESTOY METRO COSTO AUMENTEN ESTARE MOVISTAR EL INCREMENTO JUSTIFICA DISPUESTA";"0";"1";"0";"0";"0";"C2"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" PEOR DESCARADO AUMENTO GOLPE DIA SERVICIO BOLSILLO MOVISTAR";"0";"0";"0";"1";"0";"C4"
" PAGAR QUEJARSE BLOQUEA AUMENTO AHORA BS REGIMEN GENTE VIENE";"0";"1";"0";"0";"0";"C2"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" USUARIOS SERVICIO TARIFAS HASTA MOVISTAR CUANDO BUENO ENTONCES OJO MAL SUS DIGITEL IMPAGABLES VIOLANDO";"0";"1";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" MOVISTAR PRESTA SERVICIO VERGA";"0";"0";"0";"1";"0";"C4"
" MOVISTAR PRESTA SERVICIO VERGA";"0";"0";"0";"1";"0";"C4"
" MOVISTAR PRESTA SERVICIO VERGA";"0";"0";"0";"1";"0";"C4"
" AVISO AUMENTOS PASA TARIFAS QUE SERVICIO";"0";"1";"0";"1";"0";"C4"
" UN AUMENTO QUE RESPETO CORTES RECIB INFORMATIVO MENSAJE SERVICIO PLAN";"0";"0";"0";"2";"0";"C4"
" UN AUMENTO QUE RESPETO CORTES RECIB INFORMATIVO MENSAJE SERVICIO PLAN";"0";"0";"0";"2";"0";"C4"
" INTERNET TELEFNICO COMAS SAN TENGO POSTPAGO SENAL FALLA CONSTANTEMNTE FELIPE SERVICIO";"0";"0";"0";"1";"0";"C4"
" PERDER VEZ AUMENTOS MOVISTAR SI QUEJAS EVITAN LINEA FUNCIONAMIENTO";"0";"0";"1";"0";"0";"C3"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" PERDER VEZ AUMENTOS MOVISTAR SI QUEJAS EVITAN LINEA FUNCIONAMIENTO";"0";"0";"1";"0";"0";"C3"
" INTERNET RENTA COBERTURA ABSURDO PESIMO COBRAR BS NAVEGACION VAN SERVICIO DE";"0";"1";"0";"1";"0";"C4"
" MOVISTAR AUMENTO QUEJAN MISMOS VENEZUELA INCREMENTA LOS PRIMEROS TARIFAS SERVICIO";"0";"1";"0";"1";"0";"C4"
" MOVISTAR AUMENTO QUEJAN MISMOS VENEZUELA INCREMENTA LOS PRIMEROS TARIFAS SERVICIO";"0";"1";"0";"1";"0";"C4"
" PEOR DESCARADO AUMENTO GOLPE DIA SERVICIO BOLSILLO MOVISTAR";"0";"0";"0";"1";"0";"C4"
" PEOR DESCARADO AUMENTO GOLPE DIA SERVICIO BOLSILLO MOVISTAR";"0";"0";"0";"1";"0";"C4"
" HABER MOVISTAR PEOR QUE SENAL PUDEMOS PORQUERIA PERU SERVICIO ADQUIRIDO";"0";"0";"0";"1";"0";"C4"
" SERVICIO RESPONDE REITERADOS RECLAMOS INTERNET HOGAR MOVISTAR";"0";"0";"0";"1";"0";"C4"
" UN CONFIABA SERVICIOS CASA MOVIL SERVICIO HORROR PENA";"0";"0";"0";"1";"0";"C4"
" CALL GUSTAN CONTESTA CENTER POR CLIENTES BLOQUEARON CONSULTAMOS SI DAN NO SERVICIO ME NADIE";"3";"0";"0";"1";"0";"C1"
" MI MOVISTAR DAR PERTENECE SERVICIO TELCEL TEOR";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" ESPERANDO TECNICO MOVISTAR DECODIFIADOR QUE AYER YO TRAIGA SERVICIO";"0";"0";"0";"1";"0";"C4"
" ESPERANDO TECNICO MOVISTAR DECODIFIADOR QUE AYER YO TRAIGA SERVICIO";"0";"0";"0";"1";"0";"C4"
" DIFICULTADES COMUNICACIONES MOVISTAR TAMBIEN ACUERDO BRINDA SERVICIO DE";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" ESPERANDO TECNICO MOVISTAR DECODIFIADOR QUE AYER YO TRAIGA SERVICIO";"0";"0";"0";"1";"0";"C4"
" CAMBIES ROBA CONTRATES QUE BRUTO SERVICIO MOVISTAR";"0";"0";"1";"1";"0";"C4"
" RESPONDER COLOMBIA OJALA MOVISTAR RAPIDEZ AUNQUE SEA RESPONDIERAN ESPANA SERVICIO EMPRESA";"0";"0";"0";"1";"0";"C4"
" PETICON MOVISTAR MEJOR INTERNET OFRECIDO CANSADO LETICIA APOYA SERVICIO AMAZONAS";"0";"0";"0";"1";"0";"C4"
" ENTRAN TAMBIEN PRESTAR NO LADRONES RECARGAS SERVICIO APARTE OCT";"0";"1";"0";"1";"0";"C4"
" MANDARA MALDITOS ALGUIEN PURO MOVISTAR FAMILIA DESPUES SERVICIO ANOS CARAJO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" CRUZ MOVISTAR PUDRICION CLIENTE ESTAFA LE NO SERVICIO";"0";"0";"0";"2";"0";"C4"
" CRUZ MOVISTAR PUDRICION CLIENTE ESTAFA LE NO SERVICIO";"0";"0";"0";"2";"0";"C4"
" PRESTAR MAN SERVICIO DATOS MOVISTAR";"0";"0";"0";"1";"1";"C5"
" DESAPARECER TARIFACERO LA";"0";"0";"0";"0";"0";"C5"
" AL PLATOS AT CUENTAS CONSUMIDOR AMP ROTOS PAGANDO FINAL TERMINA";"0";"0";"0";"0";"0";"C5"
" FAVOR RECLAMOS SOPORTE POR MOVISTAR";"0";"0";"0";"0";"0";"C5"
" IPHONE MOVISTAR QUITA SEA LANZANDO MIERDA SERVICIO AMIGOS";"0";"0";"0";"1";"0";"C4"
" OSEA MARICO MOVISTAR AUMENTO DECIR RENTAS NADIE";"0";"0";"0";"0";"0";"C5"
" AL PLATOS AT CUENTAS CONSUMIDOR AMP ROTOS PAGANDO FINAL TERMINA";"0";"0";"0";"0";"0";"C5"
" ROBA MOVISTAR ASEGURO REACTIVAR TRES LOS APUESTO MIERDA LINEA";"0";"0";"1";"0";"0";"C3"
" PARTE MOVISTAR AUMENTO FIRMA NO ABUSIVO DIGITEL TARIFAS PETICION";"0";"1";"0";"0";"0";"C2"
" PARTICULAR MIRAR NACIONAL QUIERO TV LLEGA CSM PINCHO MIERDA ME MOVISTAR";"0";"0";"0";"0";"0";"C5"
" SU LLAMA EQUIPO CUANTO LOS MERCENARIOS DEJAN MEDOCRE LE QUISIERA";"1";"0";"0";"0";"0";"C1"
" AMP FORMA TARIFA AT INTERCONEXION DE";"0";"1";"0";"0";"0";"C2"
" IPHONE MOVISTAR CUANTOS TUITSTARS PERDIERON MERMELADA ESTAN MERME PUDOR ATRAGANTADOS";"1";"0";"1";"0";"0";"C3"
" COMERCIAL POH DICE ASTERISCO ARRUGA GUSTA MOVISTAR APRETANDO NO COMIENCE";"0";"0";"0";"0";"0";"C5"
" CAMBIADO MOVISTAR HUBIERA ACA CLARO MIERDA DE";"0";"0";"0";"0";"0";"C5"
" FREN QUE MOVISTAR VERGAAAAA";"0";"0";"0";"0";"0";"C5"
" IPHONE MOVISTAR QUITA SEA LANZANDO MIERDA SERVICIO AMIGOS";"0";"0";"0";"1";"0";"C4"
" ESPERANDO IPHONE MOVISTAR <U+00A0> ENTREGANDO <ED> <U+00BD> <U+00B8> <U+0082> ESTAN LLAMADA";"1";"0";"0";"0";"0";"C1"
" MOVISTAR DIGITEL TARIFAS MOVILNET LOS AUMENTOS ALARMANTES";"0";"1";"0";"0";"0";"C2"
" PORONGA UN MOVISTAR TENES INTERNET";"0";"0";"0";"0";"0";"C5"
" SENALES TOME IMPULSA MISION GOBIERNO MOVISTAR PIDE AUMENTO CONTRA LA MEDIDAS GRAN TARIFAS GENTE";"0";"1";"0";"0";"0";"C2"
" PAGAR QUEEEE AJUSTE 30,000 PONE MOVISTAR PRRO SUSTO";"0";"1";"0";"0";"0";"C2"
" PESOS MOVISTAR BIEN";"0";"0";"0";"0";"0";"C5"
" PRENSA PALPA LLEVAN MOVISTAR-LIMA FACIL EL25 MUTIS LOS NO ESTAN OCTUBRE CELULARES INEPTOS INFORMACON ICA";"1";"0";"0";"0";"0";"C1"
" IPHONE MOVISTAR FUERA VENDER QUIERE AMIGOS";"0";"0";"0";"0";"0";"C5"
" CONATEL NICOLASMADURO MOVISTAR PRESIDENTE SUBAN TELEFNICAS TARIFAS POSIBLE PRONUNCIA";"0";"1";"0";"0";"0";"C2"
" IPHONE MOVISTAR QUITA SEA LANZANDO MIERDA SERVICIO AMIGOS";"0";"0";"0";"1";"0";"C4"
" CAROS IPHONE RENOVAR MOVISTAR QUEJADO IGUAL DEJAN YO INCONVENIENTES TENIDO";"0";"0";"0";"0";"0";"C5"
" JAJAJAJ WEB DICEN ME MISMO PAGINA";"0";"0";"0";"1";"1";"C5"
" CARAS POR ENTRADAS ESTAN";"1";"0";"0";"0";"0";"C1"
" IPHONE MOVISTAR QUITA SEA LANZANDO MIERDA SERVICIO AMIGOS";"0";"0";"0";"1";"0";"C4"
" PAGAR SIRVE RENTA TELEFONO MOVISTAR DIGANME PORQUERIAS PALOS SEA PASO";"1";"1";"0";"0";"0";"C2"
" CONATEL NICOLASMADURO MOVISTAR PRESIDENTE TELEFONICAS SUBAN TARIFAS POSIBLE PRONUNCIA";"0";"1";"0";"0";"0";"C2"
" PARTIDOS MOVISTAR TORCER SERN NUEVA SE_AL BRAZO TRANSMITIDOS ZELANDA ABIERTA PERU VS";"0";"0";"0";"0";"0";"C5"
" TARIFA TAMPOCO POSPAGO MISTERIOS PREPAGOS MOVISTAR";"0";"1";"0";"0";"0";"C2"
" MOVISTAR DIGITEL TARIFAS NOVIEMBRE MOVILNET AUMENTAN PARTIR";"0";"1";"0";"0";"0";"C2"
" ADIOS PEOR AUMENTO LANZAR PORQUERIA ELEVADO BASURAS MOVISTAR";"0";"0";"0";"0";"0";"C5"
" MOVISTAR DIGITEL TARIFAS NOVIEMBRE MOVILNET AUMENTAN PARTIR";"0";"1";"0";"0";"0";"C2"
" MOVISTAR DIGITEL TARIFAS NOVIEMBRE MOVILNET AUMENTAN PARTIR";"0";"1";"0";"0";"0";"C2"
" DENUNCIAN TARIFAS USUARIOS AUMENTARON MOVISTAR";"0";"1";"0";"0";"0";"C2"
" UN GB ECUANIME MOVISTAR ESTAFA MINUTOS BS PERPLEJO TARIFAS";"0";"1";"0";"1";"0";"C4"
" AUMENTEN DEBERIA MOVISTAR QUE PAGARLE USUARIOS ACEPTABLE DIGITEL TARIFAS MOVILNET";"0";"1";"0";"0";"0";"C2"
" NARANJA 288,60 AUMENTO COSTAR MOVILNET BS EL PASO PLAN";"0";"0";"0";"0";"0";"C5"
" SUELDO PAIS MOVISTAR AUMENTO ASQUEROSO AYER SEA GANAS PASAJE EL MIERDA DE DEL";"0";"0";"0";"0";"0";"C5"
" UN GB ECUANIME MOVISTAR ESTAFA MINUTOS BS PERPLEJO TARIFAS";"0";"1";"0";"1";"0";"C4"
" GRACIAS HALLOWEEN PRECIOS TERROR MOVISTAR";"0";"0";"0";"0";"0";"C5"
" MISERABLES SUBI MOVISTAR CON OJO PELAO TARIFAS ALERTAPRESIDENTEMADURO";"0";"1";"0";"0";"0";"C2"
" SERVICIO INTERNET VEZ PODRIDO OTRA MOVISTAR";"0";"0";"0";"1";"0";"C4"
" PAGAR EMPLEADOS PRIVADA DISPUESTA EMPRESA MOVISTAR";"0";"1";"0";"1";"0";"C4"
" DENUNCIA QUIERO DESCONECTA FORMAL SERVICIO DIAS MOVISTAR";"0";"0";"0";"2";"0";"C4"
" SERVICIO LENTA CONX MOVISTAR";"0";"0";"0";"1";"1";"C5"
" TELEFONIA EFICIENTE MOVISTAR AUMENTO CELULAR AUNADO ACEPTAR CONATEL TARIFAS SERVICIO MIL MOVILNET MUY";"0";"1";"0";"1";"0";"C4"
" CLARO INTERNET SERIA MOVISTAR PUBLICIDAD IGUAL TUVIERAN SI PASE SERVICIO GENIAL ME ENGANOSA";"0";"1";"0";"1";"0";"C4"
" CLARO INTERNET SERIA MOVISTAR PUBLICIDAD IGUAL TUVIERAN SI PASE SERVICIO GENIAL ME ENGANOSA";"0";"1";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO MOVILNET DIGITEL REINT SERVICIO ANCLEGADODECHAVEZ";"0";"0";"0";"1";"0";"C4"
" RENTA MOVISTAR AUMENTO PERO SOBRE QUEJAR ACEPTO QUEJARE DINERO SERVICIO";"0";"0";"0";"1";"0";"C4"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" TECNICO MOVISTAR SI DADO NOVIEMBRE SERVICIO FECHA";"0";"0";"1";"1";"0";"C4"
" PAGAR ESTOY METRO COSTO AUMENTEN ESTARE MOVISTAR EL INCREMENTO JUSTIFICA DISPUESTA";"0";"1";"0";"0";"0";"C2"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO REINTENTA MOVILNET DIGITEL SERVICIO";"0";"0";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO REINTENTA MOVILNET DIGITEL SERVICIO";"0";"0";"0";"1";"0";"C4"
" LENTITUD SABOTEO MOVISTAR AUMENTO REINTENTA MOVILNET DIGITEL SERVICIO";"0";"0";"0";"1";"0";"C4"
" PAGAR ESTOY METRO COSTO AUMENTEN ESTARE MOVISTAR EL INCREMENTO JUSTIFICA DISPUESTA";"0";"1";"0";"0";"0";"C2"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" PEOR DESCARADO AUMENTO GOLPE DIA SERVICIO BOLSILLO MOVISTAR";"0";"0";"0";"1";"0";"C4"
" PAGAR QUEJARSE BLOQUEA AUMENTO AHORA BS REGIMEN GENTE VIENE";"0";"1";"0";"0";"0";"C2"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" USUARIOS SERVICIO TARIFAS HASTA MOVISTAR CUANDO BUENO ENTONCES OJO MAL SUS DIGITEL IMPAGABLES VIOLANDO";"0";"1";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" HAN TELECOMUNICACIONES SUBCOBRADAS LENTITUD SIDO AUMENTO SENAL DEBEMOS SERVICIO POCA RESOLVERAN";"0";"0";"0";"1";"0";"C4"
" MOVISTAR PRESTA SERVICIO VERGA";"0";"0";"0";"1";"0";"C4"
" MOVISTAR PRESTA SERVICIO VERGA";"0";"0";"0";"1";"0";"C4"
" MOVISTAR PRESTA SERVICIO VERGA";"0";"0";"0";"1";"0";"C4"
" AVISO AUMENTOS PASA TARIFAS QUE SERVICIO";"0";"1";"0";"1";"0";"C4"
" UN AUMENTO QUE RESPETO CORTES RECIB INFORMATIVO MENSAJE SERVICIO PLAN";"0";"0";"0";"2";"0";"C4"
" UN AUMENTO QUE RESPETO CORTES RECIB INFORMATIVO MENSAJE SERVICIO PLAN";"0";"0";"0";"2";"0";"C4"
" INTERNET TELEFNICO COMAS SAN TENGO POSTPAGO SENAL FALLA CONSTANTEMNTE FELIPE SERVICIO";"0";"0";"0";"1";"0";"C4"
" PERDER VEZ AUMENTOS MOVISTAR SI QUEJAS EVITAN LINEA FUNCIONAMIENTO";"0";"0";"1";"0";"0";"C3"
" QUIEREN MMG NACIDOS MALPARIDO SALGAN VZLA MEJOREN SUBAN MIL SERVICIO PLANES";"0";"0";"0";"1";"0";"C4"
" PERDER VEZ AUMENTOS MOVISTAR SI QUEJAS EVITAN LINEA FUNCIONAMIENTO";"0";"0";"1";"0";"0";"C3"
" INTERNET RENTA COBERTURA ABSURDO PESIMO COBRAR BS NAVEGACION VAN SERVICIO DE";"0";"1";"0";"1";"0";"C4"
" MOVISTAR AUMENTO QUEJAN MISMOS VENEZUELA INCREMENTA LOS PRIMEROS TARIFAS SERVICIO";"0";"1";"0";"1";"0";"C4"
" MOVISTAR AUMENTO QUEJAN MISMOS VENEZUELA INCREMENTA LOS PRIMEROS TARIFAS SERVICIO";"0";"1";"0";"1";"0";"C4"
" PEOR DESCARADO AUMENTO GOLPE DIA SERVICIO BOLSILLO MOVISTAR";"0";"0";"0";"1";"0";"C4"
" PEOR DESCARADO AUMENTO GOLPE DIA SERVICIO BOLSILLO MOVISTAR";"0";"0";"0";"1";"0";"C4"
" HABER MOVISTAR PEOR QUE SENAL PUDEMOS PORQUERIA PERU SERVICIO ADQUIRIDO";"0";"0";"0";"1";"0";"C4"
" SERVICIO RESPONDE REITERADOS RECLAMOS INTERNET HOGAR MOVISTAR";"0";"0";"0";"1";"0";"C4"
" UN CONFIABA SERVICIOS CASA MOVIL SERVICIO HORROR PENA";"0";"0";"0";"1";"0";"C4"
" CALL GUSTAN CONTESTA CENTER POR CLIENTES BLOQUEARON CONSULTAMOS SI DAN NO SERVICIO ME NADIE";"3";"0";"0";"1";"0";"C1"
" MI MOVISTAR DAR PERTENECE SERVICIO TELCEL TEOR";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" ESPERANDO TECNICO MOVISTAR DECODIFIADOR QUE AYER YO TRAIGA SERVICIO";"0";"0";"0";"1";"0";"C4"
" ESPERANDO TECNICO MOVISTAR DECODIFIADOR QUE AYER YO TRAIGA SERVICIO";"0";"0";"0";"1";"0";"C4"
" DIFICULTADES COMUNICACIONES MOVISTAR TAMBIEN ACUERDO BRINDA SERVICIO DE";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" USUARIOS CLIENTES LEE QUEJAN CONTINUAN MOTIVO SERVICIO";"0";"0";"0";"1";"0";"C4"
" ESPERANDO TECNICO MOVISTAR DECODIFIADOR QUE AYER YO TRAIGA SERVICIO";"0";"0";"0";"1";"0";"C4"
" CAMBIES ROBA CONTRATES QUE BRUTO SERVICIO MOVISTAR";"0";"0";"1";"1";"0";"C4"
" RESPONDER COLOMBIA OJALA MOVISTAR RAPIDEZ AUNQUE SEA RESPONDIERAN ESPANA SERVICIO EMPRESA";"0";"0";"0";"1";"0";"C4"
" PETICON MOVISTAR MEJOR INTERNET OFRECIDO CANSADO LETICIA APOYA SERVICIO AMAZONAS";"0";"0";"0";"1";"0";"C4"
" ENTRAN TAMBIEN PRESTAR NO LADRONES RECARGAS SERVICIO APARTE OCT";"0";"1";"0";"1";"0";"C4"
" MANDARA MALDITOS ALGUIEN PURO MOVISTAR FAMILIA DESPUES SERVICIO ANOS CARAJO";"0";"0";"0";"1";"0";"C4"
